_id,date,site,parameter,index_value,description,health_advisory,health_effects
125,2016-01-06,Lawrenceville 2,SO2,10,Good,,
126,2016-01-06,South Fayette,SO2,10,Good,,
127,2016-01-07,Parkway East,CO,19,Good,,
128,2016-01-07,Lawrenceville,OZONE,3,Good,,
129,2016-01-07,Glassport High Street,PM10,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
130,2016-01-07,Parkway East,NO2,40,Good,,
131,2016-01-07,Flag Plaza,PM10,50,Good,,
132,2016-01-07,Liberty 2,PM25(2),77,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
133,2016-01-07,Lincoln,PM25,118,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
134,2016-01-07,Parkway East,PM25T,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
135,2016-01-07,Liberty 2,PM10,49,Good,,
136,2016-01-07,North Braddock,PM10B,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
137,2016-01-07,Lawrenceville 2,SO2,9,Good,,
138,2016-01-07,Flag Plaza,CO,0,Good,,
139,2016-01-07,Harrison Township,OZONE,14,Good,,
140,2016-01-07,Lawrenceville,PM25B,72,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
141,2016-01-07,Avalon,SO2,4,Good,,
142,2016-01-07,North Braddock,SO2,37,Good,,
143,2016-01-07,Harrison Township,NO2,35,Good,,
144,2016-01-07,Liberty,SO2,31,Good,,
145,2016-01-07,South Fayette,SO2,9,Good,,
146,2016-01-07,Lawrenceville 2,CO,10,Good,,
147,2016-01-07,Lincoln,PM10,72,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
148,2016-01-08,Harrison Township,NO2,24,Good,,
149,2016-01-08,Parkway East,NO2,33,Good,,
150,2016-01-08,North Braddock,SO2,11,Good,,
151,2016-01-08,Flag Plaza,CO,0,Good,,
152,2016-01-08,Parkway East,PM25T,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
153,2016-01-08,Lawrenceville 2,SO2,5,Good,,
154,2016-01-08,Flag Plaza,PM10,50,Good,,
155,2016-01-08,Glassport High Street,PM10,32,Good,,
156,2016-01-08,Lincoln,PM25,89,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
157,2016-01-08,South Fayette,SO2,11,Good,,
158,2016-01-08,Liberty 2,PM25(2),69,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
159,2016-01-08,Lawrenceville 2,CO,10,Good,,
160,2016-01-08,Harrison Township,OZONE,9,Good,,
161,2016-01-08,Lawrenceville,OZONE,0,Good,,
162,2016-01-08,Liberty 2,PM10,35,Good,,
163,2016-01-08,Parkway East,CO,10,Good,,
164,2016-01-08,North Braddock,PM10B,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
165,2016-01-08,Lawrenceville,PM25B,74,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
166,2016-01-08,Avalon,SO2,4,Good,,
167,2016-01-08,Liberty,SO2,13,Good,,
168,2016-01-08,Lincoln,PM10,65,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
169,2016-01-09,Harrison Township,NO2,25,Good,,
170,2016-01-09,Lincoln,PM25,36,Good,,
171,2016-01-09,Parkway East,PM25T,34,Good,,
172,2016-01-09,North Braddock,SO2,7,Good,,
173,2016-01-09,Liberty,SO2,26,Good,,
174,2016-01-09,South Fayette,SO2,0,Good,,
175,2016-01-09,Flag Plaza,CO,0,Good,,
176,2016-01-09,Lawrenceville 2,SO2,3,Good,,
177,2016-01-09,North Braddock,PM10B,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
178,2016-01-09,Lawrenceville,PM25B,44,Good,,
179,2016-01-09,Lawrenceville 2,CO,9,Good,,
180,2016-01-09,Parkway East,NO2,25,Good,,
181,2016-01-09,Lawrenceville,OZONE,18,Good,,
182,2016-01-09,Liberty 2,PM10,25,Good,,
183,2016-01-09,Glassport High Street,PM10,36,Good,,
184,2016-01-09,Lincoln,PM10,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
185,2016-01-09,Parkway East,CO,7,Good,,
186,2016-01-09,Harrison Township,OZONE,22,Good,,
187,2016-01-09,Flag Plaza,PM10,36,Good,,
188,2016-01-09,Avalon,SO2,1,Good,,
189,2016-01-09,Liberty 2,PM25(2),53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
190,2016-01-10,Harrison Township,NO2,10,Good,,
191,2016-01-10,Parkway East,NO2,9,Good,,
192,2016-01-10,North Braddock,SO2,3,Good,,
193,2016-01-10,Flag Plaza,CO,0,Good,,
194,2016-01-10,Liberty 2,PM25(2),16,Good,,
195,2016-01-10,Lawrenceville 2,SO2,1,Good,,
196,2016-01-10,Lawrenceville,PM25B,16,Good,,
197,2016-01-10,Parkway East,PM25T,6,Good,,
198,2016-01-10,Liberty,SO2,6,Good,,
199,2016-01-10,Lawrenceville 2,CO,3,Good,,
200,2016-01-10,Liberty 2,PM10,11,Good,,
201,2016-01-10,Lincoln,PM10,10,Good,,
202,2016-01-10,Lincoln,PM25,21,Good,,
203,2016-01-10,Parkway East,CO,3,Good,,
204,2016-01-10,Harrison Township,OZONE,28,Good,,
205,2016-01-10,Flag Plaza,PM10,6,Good,,
206,2016-01-10,Avalon,SO2,0,Good,,
207,2016-01-10,Lawrenceville,OZONE,25,Good,,
208,2016-01-10,Glassport High Street,PM10,17,Good,,
209,2016-01-10,North Braddock,PM10B,23,Good,,
210,2016-01-10,South Fayette,SO2,0,Good,,
211,2016-01-11,Lawrenceville,OZONE,24,Good,,
212,2016-01-11,Glassport High Street,PM10,6,Good,,
213,2016-01-11,Lawrenceville,PM25B,35,Good,,
214,2016-01-11,Lawrenceville 2,CO,2,Good,,
215,2016-01-11,Parkway East,NO2,16,Good,,
216,2016-01-11,Liberty 2,PM10,6,Good,,
217,2016-01-11,Lincoln,PM10,15,Good,,
218,2016-01-11,Flag Plaza,CO,0,Good,,
219,2016-01-11,Lawrenceville 2,SO2,3,Good,,
220,2016-01-11,North Braddock,PM10B,12,Good,,
221,2016-01-11,Parkway East,PM25T,31,Good,,
222,2016-01-11,Liberty,SO2,9,Good,,
223,2016-01-11,Harrison Township,NO2,15,Good,,
224,2016-01-11,Liberty 2,PM25(2),27,Good,,
225,2016-01-11,North Braddock,SO2,6,Good,,
226,2016-01-11,South Fayette,SO2,3,Good,,
227,2016-01-11,Parkway East,CO,3,Good,,
228,2016-01-11,Harrison Township,OZONE,27,Good,,
229,2016-01-11,Flag Plaza,PM10,11,Good,,
230,2016-01-11,Lincoln,PM25,38,Good,,
231,2016-01-11,Avalon,SO2,4,Good,,
232,2016-01-12,Harrison Township,NO2,18,Good,,
233,2016-01-12,Parkway East,NO2,15,Good,,
234,2016-01-12,North Braddock,SO2,19,Good,,
235,2016-01-12,Liberty 2,PM25(2),43,Good,,
236,2016-01-12,Lawrenceville 2,SO2,2,Good,,
237,2016-01-12,Glassport High Street,PM10,6,Good,,
238,2016-01-12,Lawrenceville 2,CO,2,Good,,
239,2016-01-12,Lawrenceville,OZONE,27,Good,,
240,2016-01-12,North Braddock,PM10B,15,Good,,
241,2016-01-12,Parkway East,CO,4,Good,,
242,2016-01-12,Flag Plaza,PM10,11,Good,,
243,2016-01-12,Lincoln,PM25,36,Good,,
244,2016-01-12,Liberty 2,PM10,9,Good,,
245,2016-01-12,Lincoln,PM10,15,Good,,
246,2016-01-12,South Fayette,SO2,0,Good,,
247,2016-01-12,Flag Plaza,CO,0,Good,,
248,2016-01-12,Avalon,SO2,1,Good,,
249,2016-01-12,Liberty,SO2,13,Good,,
250,2016-01-12,Lawrenceville,PM25B,36,Good,,
251,2016-01-12,Parkway East,PM25T,36,Good,,
252,2016-01-13,North Braddock,PM10B,21,Good,,
253,2016-01-13,Liberty 2,PM25(2),32,Good,,
254,2016-01-13,Parkway East,PM25T,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
255,2016-01-13,Lawrenceville 2,SO2,9,Good,,
256,2016-01-13,South Fayette,SO2,6,Good,,
257,2016-01-13,Flag Plaza,CO,0,Good,,
258,2016-01-13,Glassport High Street,PM10,10,Good,,
259,2016-01-13,Liberty,SO2,9,Good,,
260,2016-01-13,Harrison Township,NO2,20,Good,,
261,2016-01-13,Parkway East,NO2,19,Good,,
262,2016-01-13,North Braddock,SO2,7,Good,,
263,2016-01-13,Lawrenceville 2,CO,3,Good,,
264,2016-01-13,Lawrenceville,OZONE,22,Good,,
265,2016-01-13,Liberty 2,PM10,10,Good,,
266,2016-01-13,Lincoln,PM10,19,Good,,
267,2016-01-13,Parkway East,CO,3,Good,,
268,2016-01-13,Lawrenceville,PM25B,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
269,2016-01-13,Avalon,SO2,11,Good,,
270,2016-01-13,Flag Plaza,PM10,13,Good,,
271,2016-01-13,Lincoln,PM25,46,Good,,
272,2016-01-14,Harrison Township,NO2,44,Good,,
273,2016-01-14,Parkway East,NO2,32,Good,,
274,2016-01-14,North Braddock,SO2,30,Good,,
275,2016-01-14,Lincoln,PM25,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
276,2016-01-14,Parkway East,PM25T,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
277,2016-01-14,Lawrenceville 2,SO2,5,Good,,
278,2016-01-14,Flag Plaza,CO,0,Good,,
279,2016-01-14,Lawrenceville,PM25B,51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
280,2016-01-14,Avalon,SO2,4,Good,,
281,2016-01-14,Liberty,SO2,50,Good,,
282,2016-01-14,Lincoln,PM10,25,Good,,
283,2016-01-14,Liberty 2,PM25(2),63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
284,2016-01-14,Flag Plaza,PM10,14,Good,,
285,2016-01-14,North Braddock,PM10B,34,Good,,
286,2016-01-14,South Fayette,SO2,4,Good,,
287,2016-01-14,Parkway East,CO,8,Good,,
288,2016-01-14,Lawrenceville,OZONE,19,Good,,
289,2016-01-14,Glassport High Street,PM10,10,Good,,
290,2016-01-14,Lawrenceville 2,CO,6,Good,,
291,2016-01-14,Liberty 2,PM10,23,Good,,
292,2016-01-15,Lawrenceville 2,CO,8,Good,,
293,2016-01-15,Liberty 2,PM10,39,Good,,
294,2016-01-15,Flag Plaza,CO,0,Good,,
295,2016-01-15,Lawrenceville,OZONE,19,Good,,
296,2016-01-15,Glassport High Street,PM10,23,Good,,
297,2016-01-15,Liberty,SO2,51,Moderate,,
298,2016-01-15,Harrison Township,NO2,42,Good,,
299,2016-01-15,Parkway East,NO2,32,Good,,
300,2016-01-15,North Braddock,SO2,57,Moderate,,
301,2016-01-15,Flag Plaza,PM10,23,Good,,
302,2016-01-15,North Braddock,PM10B,47,Good,,
303,2016-01-15,Lincoln,PM25,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
304,2016-01-15,Parkway East,PM25T,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
305,2016-01-15,Lawrenceville 2,SO2,4,Good,,
306,2016-01-15,Parkway East,CO,10,Good,,
307,2016-01-15,Lawrenceville,PM25B,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
308,2016-01-15,Avalon,SO2,4,Good,,
309,2016-01-15,Lincoln,PM10,28,Good,,
310,2016-01-15,Liberty 2,PM25(2),71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
311,2016-01-15,South Fayette,SO2,1,Good,,
312,2016-01-16,Glassport High Street,PM10,20,Good,,
313,2016-01-16,Liberty,SO2,1,Good,,
314,2016-01-16,Lawrenceville 2,SO2,1,Good,,
315,2016-01-16,Liberty 2,PM10,25,Good,,
316,2016-01-16,Lawrenceville 2,CO,3,Good,,
317,2016-01-16,Parkway East,CO,6,Good,,
318,2016-01-16,Parkway East,NO2,16,Good,,
319,2016-01-16,Lawrenceville,OZONE,27,Good,,
320,2016-01-16,Lincoln,PM10,19,Good,,
321,2016-01-16,South Fayette,SO2,0,Good,,
322,2016-01-16,Flag Plaza,PM10,20,Good,,
323,2016-01-16,North Braddock,PM10B,36,Good,,
324,2016-01-16,Lawrenceville,PM25B,40,Good,,
325,2016-01-16,Flag Plaza,CO,0,Good,,
326,2016-01-16,Liberty 2,PM25(2),28,Good,,
327,2016-01-16,Avalon,SO2,0,Good,,
328,2016-01-16,Harrison Township,NO2,13,Good,,
329,2016-01-16,Lincoln,PM25,38,Good,,
330,2016-01-16,Parkway East,PM25T,34,Good,,
331,2016-01-16,North Braddock,SO2,1,Good,,
332,2016-01-17,Flag Plaza,PM10,6,Good,,
333,2016-01-17,North Braddock,PM10B,11,Good,,
334,2016-01-17,Parkway East,CO,5,Good,,
335,2016-01-17,Liberty 2,PM25(2),25,Good,,
336,2016-01-17,Lawrenceville 2,SO2,2,Good,,
337,2016-01-17,Lawrenceville 2,CO,2,Good,,
338,2016-01-17,Harrison Township,NO2,6,Good,,
339,2016-01-17,Parkway East,NO2,11,Good,,
340,2016-01-17,Lawrenceville,OZONE,27,Good,,
341,2016-01-17,Liberty 2,PM10,5,Good,,
342,2016-01-17,Parkway East,PM25T,31,Good,,
343,2016-01-17,North Braddock,SO2,1,Good,,
344,2016-01-17,Glassport High Street,PM10,5,Good,,
345,2016-01-17,Liberty,SO2,1,Good,,
346,2016-01-17,Lawrenceville,PM25B,35,Good,,
347,2016-01-17,Flag Plaza,CO,0,Good,,
348,2016-01-17,Avalon,SO2,1,Good,,
349,2016-01-17,Lincoln,PM25,29,Good,,
350,2016-01-17,Lincoln,PM10,10,Good,,
351,2016-01-17,South Fayette,SO2,6,Good,,
352,2016-01-18,Glassport High Street,PM10,6,Good,,
353,2016-01-18,Parkway East,PM25T,35,Good,,
354,2016-01-18,Liberty,SO2,1,Good,,
355,2016-01-18,Flag Plaza,CO,0,Good,,
356,2016-01-18,Flag Plaza,PM10,17,Good,,
357,2016-01-18,Liberty 2,PM25(2),25,Good,,
358,2016-01-18,Avalon,SO2,1,Good,,
359,2016-01-18,Lawrenceville 2,SO2,1,Good,,
360,2016-01-18,Harrison Township,NO2,6,Good,,
361,2016-01-18,Lincoln,PM25,41,Good,,
362,2016-01-18,North Braddock,SO2,1,Good,,
363,2016-01-18,North Braddock,PM10B,14,Good,,
364,2016-01-18,South Fayette,SO2,1,Good,,
365,2016-01-18,Lawrenceville,PM25B,38,Good,,
366,2016-01-18,Parkway East,CO,5,Good,,
367,2016-01-18,Lawrenceville 2,CO,3,Good,,
368,2016-01-18,Parkway East,NO2,12,Good,,
369,2016-01-18,Lawrenceville,OZONE,24,Good,,
370,2016-01-18,Liberty 2,PM10,7,Good,,
371,2016-01-18,Lincoln,PM10,14,Good,,
372,2016-01-19,Flag Plaza,CO,0,Good,,
373,2016-01-19,Lincoln,PM25,45,Good,,
374,2016-01-19,Avalon,SO2,4,Good,,
375,2016-01-19,Lawrenceville 2,CO,3,Good,,
376,2016-01-19,Harrison Township,NO2,26,Good,,
377,2016-01-19,Parkway East,NO2,27,Good,,
378,2016-01-19,Liberty 2,PM10,10,Good,,
379,2016-01-19,North Braddock,SO2,3,Good,,
380,2016-01-19,Lawrenceville,OZONE,20,Good,,
381,2016-01-19,Glassport High Street,PM10,8,Good,,
382,2016-01-19,Parkway East,PM25T,48,Good,,
383,2016-01-19,Liberty,SO2,3,Good,,
384,2016-01-19,Parkway East,CO,8,Good,,
385,2016-01-19,Flag Plaza,PM10,18,Good,,
386,2016-01-19,Lawrenceville 2,SO2,4,Good,,
387,2016-01-19,North Braddock,PM10B,22,Good,,
388,2016-01-19,Lawrenceville,PM25B,43,Good,,
389,2016-01-19,South Fayette,SO2,3,Good,,
390,2016-01-19,Lincoln,PM10,17,Good,,
391,2016-01-19,Liberty 2,PM25(2),32,Good,,
392,2016-01-20,Lawrenceville,PM25B,66,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
393,2016-01-20,Avalon,SO2,6,Good,,
394,2016-01-20,Liberty,SO2,10,Good,,
395,2016-01-20,Lawrenceville 2,CO,7,Good,,
396,2016-01-20,Lawrenceville,OZONE,7,Good,,
397,2016-01-20,Glassport High Street,PM10,14,Good,,
398,2016-01-20,Parkway East,CO,8,Good,,
399,2016-01-20,Parkway East,NO2,29,Good,,
400,2016-01-20,Liberty 2,PM10,16,Good,,
401,2016-01-20,Lincoln,PM10,18,Good,,
402,2016-01-20,North Braddock,PM10B,31,Good,,
403,2016-01-20,Flag Plaza,CO,0,Good,,
